player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,season
1952,Marcel Reece,RB,LV,136.1,12.04,115,98,180,14.3,13,2013
2009,Denard Robinson,RB,JAX,151.6,13.08,42,118,180,17.1,7,2013
1360,Ray Rice,RB,BAL,52.6,5.05,213,34,67,7.0,13,2014
