overall_rank,display_name,position,team,tier,points_total_pred,points_per_game_pred,vor,position_rank,live_adp,bye_week,manual_adjustment,override_note
104,K.C. Concepcion,WR,CLE,6,120.98706990997037,8.55747591971125,-6.913880321374577,41,128.5,11,0.0,
105,Chimere Dike,WR,TEN,6,120.97279418006644,8.535911703781059,-6.928156051278506,42,,,0.0,
106,Jaylen Warren,RB,PIT,4,105.6821765598794,7.906062083473965,-7.505389175098415,29,66.6,9,0.0,
107,Woody Marks,RB,HOU,4,105.64367484790982,7.873240549713811,-7.543890887067988,30,141.8,8,0.0,
108,Travis Etienne,RB,NO,4,105.28261040827238,7.80650347350245,-7.9049553267054335,31,36.9,8,0.0,
109,Quentin Johnston,WR,LAC,6,119.92674978451066,8.7765416110389,-7.974200446834288,43,95.0,7,0.0,
110,Sam Darnold,QB,SEA,5,245.55366821829995,16.39637744669047,-8.326351487030479,14,140.5,11,0.0,
111,Cam Ward,QB,TEN,5,245.00700025580065,16.410580804697357,-8.873019449529778,15,174.4,9,0.0,
112,Parker Washington,WR,JAX,6,118.60776124100987,8.497783377302978,-9.293188990335082,44,75.9,7,0.0,
113,Troy Franklin,WR,DEN,6,118.12219132171838,8.363434108292731,-9.778758909626575,45,,,0.0,
114,Rome Odunze,WR,CHI,6,118.06609436010105,8.671605638798216,-9.834855871243903,46,49.9,10,0.0,
115,Omar Cooper,WR,NYJ,6,117.86210553894665,8.330793485224953,-10.0388446923983,47,164.3,13,0.0,
116,Michael Pittman,WR,PIT,6,117.74571725563133,8.298362464332358,-10.155232975713616,48,72.5,9,0.0,
117,Dak Prescott,QB,DAL,5,242.60243205999,16.425391640444055,-11.277587645340418,16,67.1,14,0.0,
118,Jayden Higgins,WR,HOU,6,116.24430671712,8.209356196336856,-11.656643514224953,49,136.3,8,0.0,
119,AJ Barner,TE,SEA,4,115.12027149190183,8.380695253955029,-12.542524692104564,23,,,0.0,
120,Aaron Jones,RB,MIN,4,100.62054111486002,7.740952909099108,-12.567024620117792,32,89.8,6,0.0,
121,Luther Burden III,WR,CHI,6,113.43071839751303,8.139777669768266,-14.470231833831917,50,53.3,10,0.0,
122,J.K. Dobbins,RB,DEN,4,98.4240048674153,7.893816540705971,-14.763560867562504,33,91.1,10,0.0,
123,Garrett Wilson,WR,NYJ,6,112.23519228238825,8.622453169174415,-15.665757948956696,51,28.3,13,0.0,
124,Xavier Legette,WR,CAR,6,111.54216491488162,8.024941822835766,-16.358785316463326,52,,,0.0,
125,Denzel Boston,WR,CLE,6,111.12833860733487,7.854684424322064,-16.772611624010082,53,155.6,11,0.0,
126,Bryce Young,QB,CAR,5,237.05001728261277,16.044482594681835,-16.830002422717655,17,177.2,5,0.0,
127,Kyle Monangai,RB,CHI,4,95.85565409012993,7.090447063891601,-17.331911644847878,34,99.7,10,0.0,
128,Matthew Stafford,QB,LA,5,235.05169103315004,15.633207747147871,-18.82832867218039,18,83.8,11,0.0,
