team,vegas_win_total,hc_change_flag
ARI,4.0,1
ATL,7.25,1
BAL,11.0,1
BUF,10.5,1
CAR,7.0,0
CHI,9.5,0
CIN,10.25,0
CLE,5.75,1
DAL,9.25,0
DEN,9.5,0
DET,10.5,0
GB,10.0,0
HOU,9.5,0
IND,8.0,0
JAX,9.25,0
KC,10.5,0
LA,11.25,0
LAC,10.0,0
LV,6.0,1
MIA,4.0,1
MIN,8.5,0
NE,9.75,0
NO,7.5,0
NYG,7.5,1
NYJ,5.5,0
PHI,10.5,0
PIT,8.5,1
SEA,10.5,0
SF,10.5,0
TB,8.5,0
TEN,6.5,1
WAS,7.5,0
